n,replicate,train_rmse_a_72,train_rmse_b_72,train_rmse_c_72,train_rmse_d_72,train_rmse_e_72,test_rmse_a_72,test_rmse_b_72,test_rmse_c_72,test_rmse_d_72,test_rmse_e_72,train_rmse_a_6,train_rmse_b_6,train_rmse_c_6,train_rmse_d_6,train_rmse_e_6,test_rmse_a_6,test_rmse_b_6,test_rmse_c_6,test_rmse_d_6,test_rmse_e_6,train_rmse_a_6_72,train_rmse_b_6_72,train_rmse_c_6_72,train_rmse_d_6_72,train_rmse_e_6_72,test_rmse_a_6_72,test_rmse_b_6_72,test_rmse_c_6_72,test_rmse_d_6_72,test_rmse_e_6_72
120,1,0.12304428657905885,0.13295944011575125,0.13183359552241408,0.13298365052666514,0.13138020480443113,0.12306835483107603,0.12965663006340325,0.12802363052602087,0.12851161840767408,0.1280627265776868,0.2429847206382767,0.2960563556684558,0.2869274403622517,0.29349946921644937,0.2849395303025054,0.219322837123437,0.2603055316507816,0.2468004032341937,0.25035542748059403,0.25359150040502587,0.10567392395876077,0.10646947038867179,0.10721493915536935,0.10714748391494126,0.1070858711248074,0.11027212731010913,0.11040701550811195,0.11115119521987504,0.11104233995124677,0.10979667686551689
120,2,0.1288918121649238,0.13007222528765244,0.12914052859930394,0.1302367908698038,0.12997311966990246,0.11981050798980546,0.12053722414021445,0.11993384692318118,0.12109116035556454,0.1206136639452799,0.22730968920307146,0.23371018796930002,0.22757471796650314,0.23562143215880338,0.23273057496718136,0.20981691687627776,0.2161265454903608,0.21016627974056099,0.2179702346832714,0.21560956540883108,0.11592841664224621,0.11620894530242347,0.11618279945127788,0.11605887771548463,0.1162664944337724,0.10803169106024825,0.10778360506606478,0.10811923775698776,0.1081223138424044,0.10797051263570691
120,3,0.1075490631640564,0.1072838856662895,0.10731741302053181,0.10756727531608956,0.10747487859323433,0.12351045163956738,0.12288471537144631,0.12327210046099303,0.12351665028714652,0.12314051554805856,0.17951643457159036,0.17909742806339773,0.17888069323420688,0.1798431735146204,0.17919885942194513,0.19598643084162728,0.1948984495539019,0.19503705020302342,0.1960686396121813,0.1957994662569722,0.09849893654293362,0.09825269385315517,0.0983284099920597,0.09846673368387131,0.09846313018198248,0.11473055961913009,0.11416516405656012,0.11459839392770818,0.11472450497315206,0.11432579361480473
120,4,0.11974439164814031,0.11810432214402361,0.11974436236625245,0.1183289529596321,0.11837559234193691,0.12144321880423033,0.12110678522601374,0.12145313375255375,0.12118750853166534,0.12065058053071302,0.20040184740843955,0.19747639807353948,0.20048356956848704,0.19682744878047448,0.19738298460699075,0.1942290173020754,0.192033357722927,0.1941732123056302,0.1938734706993397,0.19161871065784888,0.10956878135046341,0.10809988949930789,0.10955521552949447,0.10847361740413176,0.10843841035653368,0.1125852202708859,0.11253203871736431,0.11260558304291841,0.1123422520260382,0.11206052824680401
120,5,0.1096113436148328,0.10937595586660911,0.10943016268444526,0.10954661924773278,0.10956744078424993,0.12506649374427517,0.12510666882764704,0.12488939591718057,0.12497592517036572,0.12498480289900171,0.2023396131269925,0.20317617399308102,0.202128810961913,0.2026826707194829,0.2020218375520418,0.19662621264812802,0.1977335198057216,0.1963138952171631,0.19663180660058752,0.19644546365211651,0.09694685370739388,0.09649586468147843,0.09676311329572322,0.09680154556984816,0.09695216712557678,0.11645155491559106,0.11632784209234028,0.11629162431236663,0.11634570465667936,0.11638303430325131
120,6,0.11628856774084176,0.11610310737175489,0.11608620011721897,0.11611920050320287,0.1160463891982046,0.12089682987356823,0.12076986627441548,0.12103830990001625,0.12106262444639934,0.12093092281755943,0.20171543663456934,0.20065485997874014,0.20116638911030707,0.20132355712800498,0.20079873295625564,0.19501155355921682,0.19403945217285307,0.1948260217456634,0.19523643771001176,0.19394909174135783,0.1052104633613943,0.10517022522518761,0.10506126986059823,0.10507342584389966,0.10507767418571635,0.11180967644620485,0.11181325215252276,0.11200556638441267,0.11196941794573859,0.11201708061293211
120,7,0.11134198567964773,0.11153736859239194,0.1114741157923928,0.11148160502115093,0.11158256314530665,0.1209303241456624,0.12182780893272362,0.12167512752260883,0.12153437380277723,0.12164883286900155,0.17565202165870933,0.17710108942438454,0.1767191751625946,0.1766158441064504,0.17706607528676183,0.19112403423043198,0.19367069919454544,0.1930891862234523,0.192775798097566,0.1930338260701369,0.10358967918814099,0.10359657217405316,0.10358121578680361,0.10360613050616344,0.10365512528851899,0.1124530291025529,0.11311529894579633,0.11302530827001256,0.11290812596445815,0.11300359626226111
120,8,0.12068434219794687,0.11980888795171347,0.12107226900778384,0.12132330417580757,0.12395081361902852,0.12859851901180497,0.12730120353155902,0.12848405734786922,0.12923487609231685,0.13426888909109264,0.2339008536352528,0.22904727743702744,0.23538370605499007,0.23691877573065775,0.25216235237105067,0.2521731164625051,0.24565091675742703,0.2524848774551042,0.2566090573298264,0.28348409574477484,0.10452905671219175,0.10440668591809764,0.10471545884714359,0.10471709417761448,0.10483745486004396,0.11078422604920257,0.11048105030040506,0.110573680872691,0.11066644663644581,0.11124329000397297
120,9,0.10491365325979175,0.10503201770980297,0.10501561288609425,0.10462809658000974,0.1044674723785911,0.12053035265112336,0.12054818896507587,0.12048230639016419,0.12069941428056168,0.12067744631720495,0.18761717807510178,0.18770609312086153,0.18782070098865958,0.18751521213982972,0.18795841851529568,0.19092817165454468,0.19091038311599537,0.19097549358459653,0.1909623157428159,0.19045094916116637,0.09391732465709303,0.09404533854133178,0.09400466010115346,0.09358788737910771,0.09331213949518623,0.11201375520753283,0.1120369500982677,0.11195010052856443,0.11220657985217583,0.11225943918791315
120,10,0.10548004367859207,0.10799906173202312,0.1057280868420748,0.10771012119403804,0.10776042953204899,0.11960841872375777,0.1209637224039451,0.11937268061357367,0.12117651704873966,0.12107515654849632,0.1697343688386422,0.1756322304032082,0.17107686816282303,0.17458083373487762,0.17518693578028896,0.1956724180320804,0.19416731269924042,0.19666610088070147,0.19398135191570084,0.19476243163230436,0.09760855638867143,0.09965029788291034,0.09768875557203899,0.09947641837692545,0.09943873850849938,0.11017112097335738,0.11202019154558562,0.1097304612556549,0.11230017750985373,0.1120585302445139
