n,replicate,train_rmse_a_72,train_rmse_b_72,train_rmse_c_72,train_rmse_d_72,train_rmse_e_72,test_rmse_a_72,test_rmse_b_72,test_rmse_c_72,test_rmse_d_72,test_rmse_e_72,train_rmse_a_6,train_rmse_b_6,train_rmse_c_6,train_rmse_d_6,train_rmse_e_6,test_rmse_a_6,test_rmse_b_6,test_rmse_c_6,test_rmse_d_6,test_rmse_e_6,train_rmse_a_6_72,train_rmse_b_6_72,train_rmse_c_6_72,train_rmse_d_6_72,train_rmse_e_6_72,test_rmse_a_6_72,test_rmse_b_6_72,test_rmse_c_6_72,test_rmse_d_6_72,test_rmse_e_6_72
120,1,0.12296705949810116,0.12113586807562461,0.11828406268162524,0.12073008218644647,0.11856761997000283,0.12160646310669573,0.11993918721429205,0.11726342501823685,0.12045503297470227,0.11824736000161062,0.23759214751963664,0.2232122981807032,0.21256693294648668,0.2290221936039658,0.21649048806764193,0.2118728339200537,0.20335794371410199,0.1912274865645802,0.20833668937497343,0.1964799132019399,0.10668208312614627,0.10721762740051163,0.10570364178124486,0.10559189086658634,0.10532453405068964,0.10983193970619635,0.10929224465190746,0.10810663085044055,0.10905937711832499,0.10841869047869143
120,2,0.13045836983192183,0.12904701288871784,0.1285861945205285,0.12823585530642853,0.12829524937690406,0.11962115369556131,0.11783810252897693,0.11786812146790684,0.11718777108594243,0.11644879169349458,0.22780161055692913,0.22228418584495768,0.21935534590477054,0.21395757286338377,0.21422244923928302,0.20934847720357894,0.2033615286003153,0.201372598998263,0.19596342351812437,0.19576668920666512,0.11774206449481044,0.11699996283575327,0.1169491851502401,0.11743923420550806,0.11746572499302176,0.10788375948575647,0.1067785546627128,0.107156068690539,0.10725430525877218,0.10640750940486463
120,3,0.10687576228763351,0.10939507368976634,0.11067550725577634,0.10714376098788526,0.10620306138526771,0.11858935577909181,0.12144411359889462,0.12249195173529938,0.11901585350400389,0.11763153272855482,0.1774516007380222,0.19469270309459716,0.20806361148589617,0.17850295478479072,0.1755864776647149,0.19043370961340872,0.20397255443252685,0.21488084210944156,0.1906505670663975,0.18688399025072458,0.09802997574355056,0.09808577464174904,0.09715313525833828,0.09817542757824765,0.09753596396044116,0.10980385882961949,0.11099889073157991,0.11038429766994855,0.11027110359206305,0.10922940514836275
120,4,0.11753210913399827,0.12089333040865344,0.11971673072722178,0.11736389040361518,0.11855997406552736,0.11706963381305852,0.12338105082773422,0.12119953672896243,0.11694423708940375,0.11816895608295805,0.19754889102141795,0.20998875431610597,0.1991955450851605,0.19771127443862624,0.19883361644149233,0.18429756462977429,0.20524978973001076,0.1876517194459773,0.1833804860068407,0.18319372007020682,0.10740333971889864,0.10931751573011542,0.10973234379169151,0.10717624314124706,0.10841488496234147,0.10897058576820658,0.1130987187459445,0.11328912961114174,0.10896489795082921,0.11042414879499793
120,5,0.10681112469507988,0.10678076294306549,0.10689716802256405,0.10669261377052021,0.10681001250410994,0.11962337005946568,0.11924153217776767,0.12059287012562976,0.1209243589840368,0.12127465326953643,0.18855487816081673,0.18975649368178,0.1874806539169582,0.18659203852756728,0.18761049216352887,0.18425180661631246,0.18513021887170994,0.18355764319926765,0.1830767046161376,0.18653031776261758,0.09605266794556615,0.09580020896368416,0.09634737016847268,0.09625632893975439,0.09621837007766083,0.11196034337504095,0.11138400257562507,0.11319016894403934,0.11364458810217948,0.11354351851664937
120,6,0.12103691123782932,0.11189553932559927,0.11225231697644991,0.11236171881288316,0.11411464925317256,0.12554198418157533,0.11788967392802455,0.1187652630774441,0.11834427835299652,0.12034455161817761,0.21313766189194225,0.18701006658780245,0.1869559269228629,0.18910992031367427,0.19024190559502419,0.20568750821569046,0.18511454941332822,0.18620244036631603,0.18556302445731326,0.19029441021620644,0.10894259325221595,0.10243379470557207,0.10286995495203897,0.10264036054604739,0.1045445727956717,0.11559030130898047,0.1098096414916592,0.11067472259185379,0.1102749468391585,0.11189320217167541
120,7,0.1086349248521226,0.10944039413497635,0.10934828492614568,0.10874646484118405,0.11192978554847623,0.11889506552403092,0.11739075607355454,0.1171434599294761,0.11843028422543578,0.11743439242484667,0.16967335497235725,0.17109500726033117,0.17031685588620368,0.1701504667872508,0.1716064596315027,0.1850587743338721,0.18543320688793322,0.18519769495837313,0.18463477661934388,0.18574596800970902,0.1013246215325561,0.10205028579265953,0.10205982985229829,0.10138197951831214,0.1048742213916665,0.1109903400167977,0.10917505975784729,0.10892027952927887,0.11051185591739689,0.10917764151080515
120,8,0.11563007764499779,0.11511383547508328,0.11525766594987734,0.11659901173666416,0.11607359495139821,0.11961704430688827,0.119338357608274,0.11959566198434386,0.12009018271560527,0.11952841168518619,0.20483547849145278,0.20084316124483226,0.2023064658255003,0.19782884869694167,0.20250137923651745,0.20592010320069962,0.20110741053950468,0.20315257499589626,0.19706506597887685,0.2022283551771249,0.10384483190194894,0.10392877434717952,0.10384502858692611,0.10623295749107557,0.10479527177031793,0.10846885648921543,0.10895364503108176,0.10891768836734586,0.11051402838429153,0.10898981044470081
120,9,0.10514507068185952,0.10602152278749011,0.10530607303550536,0.10522382703562046,0.10562003934697639,0.11961011342119786,0.12003145980388887,0.11941315463084962,0.1195143919684987,0.11990562239648635,0.18766039980687657,0.18895711515274086,0.1879081081079622,0.1873249987868697,0.1874764468981789,0.18696120431651375,0.18851680496907844,0.1865836464034196,0.1862862756751769,0.1867282317253784,0.09419001326131739,0.09502404882001898,0.09434251976054307,0.09434785638667179,0.09480305087665507,0.11153951119069394,0.11179386161200337,0.11136751446626515,0.11153067654811201,0.11192014157411757
120,10,0.10537167955637923,0.10490549204832945,0.10431349792663502,0.1038961853257126,0.10419167881972556,0.11855637080468294,0.11824533633788874,0.1184431675858863,0.11777257951197778,0.11766191529849578,0.16635384843292347,0.16643015073821404,0.16476468909002648,0.16538202959053366,0.1647613818153387,0.1861274320800322,0.18934531735369384,0.18694131633991656,0.18850177661662115,0.18714870112590618,0.09800610255214633,0.09744968529829767,0.09701091728701951,0.096425924128748,0.0968679885982695,0.11043586435951945,0.10957402748139985,0.11017823132313724,0.10915050478198778,0.10922946452792905
