n,replicate,train_rmse_a_72,train_rmse_b_72,train_rmse_c_72,train_rmse_d_72,train_rmse_e_72,test_rmse_a_72,test_rmse_b_72,test_rmse_c_72,test_rmse_d_72,test_rmse_e_72,train_rmse_a_6,train_rmse_b_6,train_rmse_c_6,train_rmse_d_6,train_rmse_e_6,test_rmse_a_6,test_rmse_b_6,test_rmse_c_6,test_rmse_d_6,test_rmse_e_6,train_rmse_a_6_72,train_rmse_b_6_72,train_rmse_c_6_72,train_rmse_d_6_72,train_rmse_e_6_72,test_rmse_a_6_72,test_rmse_b_6_72,test_rmse_c_6_72,test_rmse_d_6_72,test_rmse_e_6_72
120,1,0.12143075399378984,0.1203974328313565,0.12107922584126914,0.1205920594548897,0.12077564841288432,0.12132806258812912,0.1205901121961325,0.12110166739670677,0.12087996025950745,0.12026519713615613,0.23521753321590813,0.22644434053591864,0.23079739728148627,0.22816070203659847,0.2252666708227438,0.2123310942624369,0.20648044313025185,0.20878366714660218,0.20732649905734973,0.20577542155980988,0.10523087017890594,0.1056828064550621,0.10567683665242904,0.10558923603380915,0.10637936599249408,0.10941684924033278,0.10954442252583144,0.10976303812431758,0.10974743669704773,0.1092755261414766
120,2,0.12709769779399102,0.1272433799567654,0.12696040402133446,0.12731944465005268,0.12725981920512436,0.11709972225664522,0.1168825717861215,0.11683847784812851,0.11713312013718341,0.11711918915030237,0.21054118074350295,0.21197411559767187,0.21003619044107213,0.21296994422267937,0.21177879516242717,0.19419529041922426,0.1951898505635226,0.19264582644186515,0.19574456237587792,0.1952687106096367,0.11664772478253324,0.11658457458492946,0.11656694046840965,0.11651058888787828,0.11663671696280487,0.10744077603304811,0.10701779532424374,0.10738306688316779,0.10722501594079671,0.10728710653019606
120,3,0.10789189499339262,0.10725457150566255,0.10859988457095637,0.1077425957791454,0.1080786246682958,0.11973363129197771,0.11954964821676826,0.12061115373005521,0.11945590402404181,0.12046877191384743,0.18750256582411215,0.18686827077767756,0.18891758341807136,0.18743060927652777,0.18851330464705685,0.20048019786925056,0.2005519264429204,0.2026242961937624,0.19942510586188422,0.20369312534080003,0.09753882972014156,0.09688125039560666,0.09814584759742875,0.09737115733253915,0.09758693864077032,0.10953831748066797,0.10930753476703,0.11023013564977131,0.10938157321322811,0.10988168284327594
120,4,0.11676812237717267,0.11732872452964342,0.11734718828546326,0.11601530173093684,0.1168655507933328,0.1164601730037847,0.11675133669429538,0.11681321755413925,0.11631641469242789,0.11655011383832437,0.19757835611311547,0.19905401392741018,0.19881718576042584,0.1947330331776746,0.1974242543508382,0.1833089519739422,0.1845377951548088,0.1838838967101878,0.18283982580722005,0.18309638462432284,0.10648562745389245,0.10690814544368928,0.10697044896208129,0.10606157657721628,0.10662870034951007,0.10840970059142922,0.10856287298349267,0.10873606837342353,0.1083138838813808,0.10854840887413578
120,5,0.10636162295378955,0.10837397595787485,0.10636436478742951,0.10849641166025681,0.10659418029086365,0.12016075137958002,0.12271998134017638,0.12043131710594014,0.12260378581326233,0.11997010658514581,0.1873101334591876,0.19710566213305258,0.18740013807325695,0.19685964941635525,0.1885478326318859,0.18347027194026513,0.19049166618302257,0.183602811000687,0.19023939138831253,0.18340070143089476,0.09572908425729233,0.09640038602848906,0.09571601777725243,0.09659630734086987,0.09579089525522438,0.11270044224756955,0.11463580172574268,0.1129952115110675,0.11453859350394814,0.11249000318627228
120,6,0.11230300263715377,0.11231711519633375,0.11241152849542514,0.11229990403335602,0.11222054659479119,0.11725890271247634,0.11756671555662405,0.11804957961185819,0.11775185535248077,0.11763555873171197,0.18779121697802473,0.18779257817581774,0.1877338443171195,0.18747328188255244,0.18805180940606775,0.1845005938941549,0.18525264574331562,0.1851375819369802,0.1848568605637182,0.18517707474012046,0.10279020623421577,0.1028075243960854,0.10293029890724861,0.10284017230253692,0.10264890728672396,0.10916703870650804,0.1094137430301679,0.1099979740866547,0.10969143613975829,0.1095045892918461
120,7,0.10876695471150905,0.10861276035168203,0.10856972249089708,0.10859334971901215,0.10892819382232288,0.11883098597888411,0.11914691986172783,0.11890620888454738,0.11858063007880558,0.11905265783499683,0.16931141284655277,0.169165918072587,0.1688818406811836,0.16939847350406803,0.17022261419297485,0.18426009478720698,0.18440215242997204,0.1842887992688885,0.18473163510063037,0.18447996870036706,0.10153329293452241,0.10137542698048024,0.10136832177837234,0.10131756120097454,0.10158397738457044,0.1110354438637752,0.11138238427083856,0.11111855861608715,0.11067293132907982,0.11126136425684381
120,8,0.11852224694026015,0.119663498335695,0.11752158895389771,0.12016311259028481,0.12018787901256306,0.12393133989074845,0.12504295706682225,0.12301461448473013,0.1255585454713558,0.12608612687481302,0.22135381408558524,0.22761037737021309,0.21791999875507376,0.22895731616587164,0.23042937482150824,0.22445198479671846,0.23195010632143342,0.22056705273086732,0.2348263041854148,0.2370924246567914,0.10431807514550792,0.10451401329338048,0.10373871144180001,0.10486926597188653,0.10460697555273525,0.11039937477819528,0.11035784418831014,0.10999059724292842,0.11044429873204532,0.11065891962144965
120,9,0.1052152658719447,0.1051941460766927,0.10527204700521682,0.10498213834076081,0.10504068004385102,0.11954835866738295,0.11947949169921461,0.1194341117208967,0.1192071202903877,0.11918760715004267,0.18757690599100907,0.18694062960926328,0.18753651920920136,0.18658178904670833,0.18685900666804858,0.18626880246556418,0.18615382464700364,0.18640177926876494,0.18561551014440592,0.18602543182947834,0.09429241356561577,0.09438090667079446,0.09436792842507942,0.09418741696159116,0.09420827920615871,0.11157174035612243,0.11150899856588264,0.11141815341398635,0.11127260004167361,0.11118728016309057
120,10,0.10525716586798749,0.10495852936606531,0.10513022249265025,0.10502189275332417,0.10495440661394663,0.11912665913813635,0.11878226777270236,0.11874732587241567,0.11851427741296636,0.11850428117905032,0.16553068631111598,0.1649752359836767,0.1651924868188172,0.1646242049885746,0.1649692143342939,0.1869095427335048,0.18658027834936403,0.186854193551638,0.18690355074182732,0.18719245689135497,0.09799865735440959,0.09773402321734372,0.09790207018391654,0.09786283039768805,0.09773071819506615,0.1109816268600835,0.11062886523557156,0.11054636173152971,0.11026595840634344,0.1102098624603131
