n,replicate,train_rmse_a_72,train_rmse_b_72,train_rmse_c_72,train_rmse_d_72,train_rmse_e_72,test_rmse_a_72,test_rmse_b_72,test_rmse_c_72,test_rmse_d_72,test_rmse_e_72,train_rmse_a_6,train_rmse_b_6,train_rmse_c_6,train_rmse_d_6,train_rmse_e_6,test_rmse_a_6,test_rmse_b_6,test_rmse_c_6,test_rmse_d_6,test_rmse_e_6,train_rmse_a_6_72,train_rmse_b_6_72,train_rmse_c_6_72,train_rmse_d_6_72,train_rmse_e_6_72,test_rmse_a_6_72,test_rmse_b_6_72,test_rmse_c_6_72,test_rmse_d_6_72,test_rmse_e_6_72
120,1,0.120507483022238,0.12258483223568277,0.11887120640549062,0.12503943207015691,0.12737712782949626,0.11854168924265768,0.11862650853237362,0.11862676830552037,0.1204972845796225,0.12182079469288365,0.2078438163224005,0.21687746477619263,0.20619930219570123,0.21333076696982609,0.22066922427795743,0.19138690497603258,0.1934941376186099,0.19300406372969575,0.18894333958173157,0.1941971452364096,0.10923943300985582,0.11016808265728716,0.10755393683311817,0.11374937208870116,0.11530275617320047,0.10959403946853202,0.10935551321223666,0.1094413275674378,0.11226873887211677,0.11301495149593732
120,2,0.12991340683061517,0.135267550246388,0.1336279942020981,0.1329421231859206,0.13126631858337387,0.1181732833820228,0.12421164213172205,0.12324716834998052,0.12075230590960327,0.11944681787890825,0.22428168568399692,0.24745230989331435,0.24032416032591283,0.2374003486180917,0.23142491109988075,0.20742277842380177,0.234088595521143,0.22897073608366195,0.21710709877267723,0.2142630142062308,0.11769702941236028,0.12003137755323635,0.11934273316634668,0.11903941505862517,0.11807729968265941,0.10646971949988271,0.10891381889649343,0.10870402359064106,0.10785622723946978,0.10678885564950993
120,3,0.11074554783557,0.11102875056756478,0.11020033566719908,0.1138572077602647,0.10852000074263474,0.1229695684833697,0.1215540648315502,0.12155356873901456,0.12552738101740918,0.11860590506067084,0.18177669048193848,0.1800444236277471,0.1807484306556933,0.18829275430314346,0.17082271014250716,0.19470216652746475,0.19428415460612689,0.1946913576079781,0.20186456160154947,0.18531302160234434,0.10192514698834386,0.10253840280236087,0.101445867310536,0.10456176382028562,0.10102111973426871,0.11429140231169041,0.11269377837325459,0.11263073643912404,0.11618775289599584,0.11061107793983435
120,4,0.12475774001554862,0.1206784686846782,0.12166716245467116,0.12051307914104337,0.12421938993007013,0.12761908285629248,0.12110252461824828,0.12278700642403813,0.12092410327592942,0.12662405050266315,0.21376958430562001,0.2051409947481596,0.20530148927842265,0.20407896405927026,0.20995174645162826,0.20643243469630812,0.19073712327918524,0.1920521232799088,0.19007029129075217,0.19901085268830576,0.11331734814026777,0.10989234895793715,0.11104682156160552,0.1098732495516562,0.11331800146254496,0.1179360542378928,0.11271897007186389,0.11448989852136206,0.11261278266648259,0.1179210068468328
120,5,0.11416610038434774,0.10976995931204254,0.11046302705102755,0.11583703514196043,0.10965597729535265,0.13018926089938224,0.12282739880048134,0.12412027000964655,0.13250978205334918,0.12220040603059101,0.21101128093072252,0.19898843214068831,0.20055547571040824,0.21665668343319883,0.19736355411260206,0.2056862078978714,0.1929914129232502,0.19502974358894565,0.20946600303866264,0.19046050576410123,0.1009262114663664,0.09776589870332544,0.09832629929491662,0.10191421365133257,0.09792562422337336,0.12106760156718917,0.11438150569778856,0.11558533103134512,0.12320715486198063,0.11403259131283813
120,6,0.11654617199669719,0.12112415605895248,0.11903153704706837,0.12379422118067815,0.12391884218757619,0.12119106527317772,0.12460357294108743,0.12312456748085711,0.12843514630265584,0.1289833939423796,0.199031641319056,0.2081775133754702,0.20571559091133237,0.21496221361096104,0.21347461398632858,0.1923286121908678,0.19908617011904636,0.19798010669443503,0.20766984959413387,0.20685190738642378,0.10598160254023926,0.10991878907727284,0.1078240790652697,0.11196249342992706,0.11236862928892631,0.11257236580768928,0.11553176218527078,0.11396486276491966,0.11869810834715223,0.11947271548816076
120,7,0.12134208145341689,0.12070806048570397,0.10968655180017611,0.11509910296488135,0.11277561701243623,0.12656382781319195,0.1260304503319115,0.1171864200078216,0.1211188022248639,0.12082585041397498,0.18076336702554555,0.18164901996936164,0.17118184171278836,0.1779829740185529,0.17795130576163432,0.1988800738184025,0.19903499487525103,0.18495979993874123,0.19293730298226477,0.19163326669706396,0.11446769245584289,0.11360658824017787,0.10232675678827706,0.10762727482265133,0.10491777543315409,0.11786599537895971,0.11721671049378884,0.10900845051984977,0.1123985734281183,0.11225443953327942
120,8,0.12297938126369098,0.12187346502351065,0.11981109421423841,0.11675861622419635,0.11858889220701273,0.1288367000730982,0.12756263037243976,0.12473860476135573,0.1225278077099627,0.12333199572343798,0.2095894987238496,0.21083328166630516,0.2052167737093219,0.2142731216908526,0.20352782591926255,0.21355425961456032,0.21373135710024932,0.20547320300107674,0.2172049980602858,0.20151242009054254,0.11188422297405386,0.11034065391617003,0.10882616586297197,0.10348886687831223,0.10764809757395308,0.11822301733667981,0.11667562429113021,0.11466922390619136,0.11000437884576812,0.11364092193491404
120,9,0.11501639434974806,0.10979255471178194,0.10673199611777212,0.10804039307365075,0.10868858771880656,0.1281064698762728,0.12379465462978681,0.12102563877766837,0.12220994112672985,0.12286113592981193,0.19490504783076054,0.1988733025834617,0.19119603285784886,0.19496991543515158,0.1941290556324746,0.19845244710704651,0.20089112826925531,0.1909767658218691,0.19685059377900818,0.19656832886352532,0.10484547290442807,0.09782391968614838,0.09548206162800994,0.09639211440298648,0.09734250235675523,0.11973055176837176,0.11428603565195307,0.11257558039932243,0.11305163488864585,0.11386608654844937
120,10,0.11344112957182048,0.10673588067076308,0.11196347026375496,0.11446865180255028,0.10855840714389497,0.12388021860922235,0.11999302113506843,0.12271006470792523,0.1247343566533718,0.12006323631361646,0.1837786208385992,0.17290445825195264,0.17740742702119183,0.18911199689436745,0.17433320753955592,0.19840513002456284,0.19121908268936372,0.19184665063948858,0.20256260862724157,0.19370032968231155,0.10477965771167297,0.09858617269904273,0.10403566854996552,0.10513961846972543,0.10051363064505071,0.1147842668581032,0.11133864624123752,0.11442405904185225,0.1151348706617005,0.11103327352162802
120,11,0.12486104497859632,0.1264290584629295,0.12488582311296699,0.12890316385985923,0.12709060594482793,0.11670923243609255,0.11770719510740736,0.11701390343766203,0.12165698337341684,0.11922897749813165,0.19603980579653904,0.19907173487047086,0.19869720070046895,0.20090771225940648,0.19954681375266142,0.19352103775719903,0.1944634500633729,0.19567525797123564,0.20005979761192152,0.19697354716458423,0.11629147921547225,0.1176689066543664,0.11590946441947239,0.12028363171139193,0.1183696465696722,0.10708048344470299,0.10811736962310799,0.10708903819011227,0.11189289840940225,0.10951255394623513
120,12,0.12061414338362965,0.12249414739991744,0.12980097788357686,0.12242997034473263,0.1210680377623001,0.11826483959855025,0.1186720010396149,0.12527827857484383,0.11892614743934507,0.11846686347308823,0.2040435615532223,0.20867486793377735,0.22109471914998918,0.20962638237387887,0.2047144589707206,0.18858510641970302,0.1887884751433998,0.20021271195919274,0.18961906191647376,0.1866661744756223,0.11000681944845449,0.11147456126622082,0.11812217547760749,0.11123561834533773,0.11043762549100307,0.1097095250660755,0.11015282848953,0.11614172754777906,0.11032147015818601,0.11024078479440019
120,13,0.12323845284655943,0.11729782428188844,0.11751720544435514,0.1199303709497278,0.11874318408068456,0.12726726769716795,0.12016789645369334,0.11980217068477483,0.12291785198641901,0.12118003234646131,0.19853076308108164,0.1926486663455969,0.19459259161793316,0.19359430439577383,0.19479123929800907,0.20020006449937502,0.1924929713722414,0.192532108153536,0.19296433474364488,0.19362444428089534,0.11401247861722645,0.10792607767510358,0.1078703071384958,0.11088898215967025,0.10928967782830581,0.11848082891773386,0.11133323572408307,0.11089599032351696,0.11448992100492632,0.11234561381701912
120,14,0.13124471731762705,0.12278603187522923,0.12975707332382605,0.13227790156163,0.13065261394626396,0.12612232162571813,0.1252319692170992,0.12940720347167273,0.12690066852346102,0.13120800789303577,0.2522906245964335,0.24223372795254422,0.2739996248834408,0.2560160522360984,0.28514585668068754,0.22868354250678782,0.2312309625382502,0.26123856341736973,0.23364624704996736,0.2675922253619114,0.11411480592072906,0.10548462998002016,0.10750850656743302,0.11466815149308715,0.10604483368814141,0.11228972989882297,0.11072045159288346,0.10988535409531877,0.11231847067739699,0.11082205272273958
120,15,0.1091377296862562,0.1167390181969099,0.11334582461390852,0.11930055358652429,0.1265030731659761,0.12465470866777767,0.12122242632227251,0.12397929377373484,0.1213259438312119,0.13050064376097598,0.1929936594684351,0.19847621693714385,0.19662308987105295,0.20805901898366436,0.22243784575597692,0.19892886994677714,0.1945001981028284,0.19952192452217302,0.1952885010277594,0.21508833375460176,0.0980880229762176,0.10630086529492035,0.10254409892593885,0.10773662944753631,0.11392466580774518,0.11561512191373235,0.11226197915677773,0.11473730489057662,0.11225872420347932,0.1199476789266583
120,16,0.11549068423395055,0.11649662178647338,0.11596366966383465,0.12401715513075795,0.11513690770995118,0.12220106415105214,0.1201733666159867,0.12120007547479042,0.12199016838493258,0.1219903149648539,0.1933387816016142,0.1938416368263095,0.19293738298078575,0.20379368741351309,0.19135408285218897,0.18912515728036697,0.18971371075835927,0.19267433369582695,0.18667506060345895,0.1900805497943414,0.10566624703243857,0.10678263919973946,0.1062954150830923,0.1140963695878274,0.10557331254316062,0.11424911068063823,0.11178951659675038,0.11254015097084547,0.11436335745441639,0.11386210794448019
120,17,0.1093435636419381,0.12082996126372347,0.10867497537914725,0.11260036702349978,0.11768227427578039,0.12323676122706151,0.13006752972575927,0.11936511807533833,0.12268158424802059,0.1260065878874479,0.19048369115439218,0.21354701603101578,0.18387397646381742,0.1951343918302131,0.20054926304076684,0.2057697077843469,0.2203907465874077,0.19585930988780087,0.20638556244649306,0.20490106959063095,0.09878496768411792,0.10862374992215781,0.09911765637832094,0.1019029958150506,0.10708807416509217,0.11283745576303873,0.11854929518760476,0.10984781940033209,0.11205766540304661,0.1162590287810568
120,18,0.1200303931900596,0.11848183800471083,0.11901782403081919,0.12539909160906412,0.11917394784821152,0.11887093440741421,0.1185406519039842,0.117818026313831,0.12307351834131622,0.118304807708892,0.20784865495538912,0.202549653822167,0.20246007021179252,0.20401464781311723,0.20506401949337463,0.19661076289715862,0.19003041954195635,0.18875602605689054,0.1948712054870023,0.1919007529649217,0.10863820936230156,0.10768630440698844,0.10834359145709163,0.11568058141059413,0.10808853603860503,0.10914989814590405,0.10981761250922673,0.10916606379665539,0.1143888218578613,0.1092392524787673
120,19,0.10997661847006103,0.11345695259609333,0.11143683738293661,0.10856604369056372,0.11296703655445199,0.11984835466000444,0.11959211228337568,0.11820481244229117,0.11697140107734583,0.12018624944291639,0.19120012118942023,0.1959183236022084,0.19378076518362614,0.18852340781255014,0.19485576178936803,0.19311769931421335,0.1922416244109321,0.18551087854960052,0.18565672780298334,0.19339572567037744,0.0994289044827392,0.10280586560636618,0.10074674156130016,0.09819348532698613,0.10239958549335915,0.11086464074069137,0.11069664021903741,0.11011255802196777,0.10864393415713006,0.11121620850174355
120,20,0.11786394154997745,0.11676522011074143,0.11685174723600972,0.11881189309006303,0.11678145908680526,0.1297001822601581,0.1293602742654181,0.12819930429013818,0.13067630817412434,0.12744055876841082,0.18983999754506298,0.18406547212758342,0.1846166994341002,0.18960321147491482,0.18648697729837632,0.21649214509286843,0.21000333195800158,0.2090119044847774,0.2170211710526159,0.21215175627725177,0.10904734623081232,0.10865046139108218,0.10866884151560935,0.11019960509032106,0.10829519905106436,0.11875934607559833,0.11941067678661756,0.11819328476833506,0.11983584808470969,0.11678541033513612
60,1,0.122508288681128,0.11471998169505727,0.11173972384399226,0.12491622040867331,0.11979293858457114,0.12632299673823155,0.1206580620625198,0.1231838342372554,0.12797266181654768,0.12436431795057319,0.20418212816963854,0.19039182835928622,0.19042616628258516,0.22017561194904986,0.19950086132642883,0.20846790456068925,0.19661596909417428,0.1998061501519383,0.22237887970371617,0.20299773006467073,0.11223162775887173,0.10523378864158414,0.10166664577213519,0.11238169337035098,0.10977596417834028,0.11605856134469171,0.11126346712337234,0.1137368546283839,0.11568379425891571,0.11462471070900744
